country_id,country_code,country_name,region_id,region_name,assistance_category_id,assistance_category_name,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount
196,CYP,Cyprus,2,Europe and Eurasia,1,Economic,2,Obligations,2016,-623255,-613540
196,CYP,Cyprus,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,1550404,1526238
204,BEN,Benin,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,31521965,31030645
204,BEN,Benin,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,36835297,36261160
212,DMA,Dominica,6,Western Hemisphere,1,Economic,3,Disbursements,2016,149392,147062
214,DOM,Dominican Republic,6,Western Hemisphere,1,Economic,2,Obligations,2016,33543817,33020988
214,DOM,Dominican Republic,6,Western Hemisphere,1,Economic,3,Disbursements,2016,38652423,38049967
218,ECU,Ecuador,6,Western Hemisphere,1,Economic,2,Obligations,2016,10423393,10260923
218,ECU,Ecuador,6,Western Hemisphere,1,Economic,3,Disbursements,2016,9720673,9569152
222,SLV,El Salvador,6,Western Hemisphere,1,Economic,2,Obligations,2016,60442953,59500884
222,SLV,El Salvador,6,Western Hemisphere,1,Economic,3,Disbursements,2016,69508252,68424894
226,GNQ,Equatorial Guinea,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,-7585,-7467
226,GNQ,Equatorial Guinea,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,56180,55303
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,851085601,837820616
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,809985798,797361437
232,ERI,Eritrea,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,-17135,-16868
232,ERI,Eritrea,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,-12,-11
242,FJI,Fiji,1,East Asia and Oceania,1,Economic,2,Obligations,2016,5110847,5031181
242,FJI,Fiji,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,3236095,3185652
262,DJI,Djibouti,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,6932409,6824350
262,DJI,Djibouti,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,3363810,3311380
266,GAB,Gabon,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,-3710,-3652
266,GAB,Gabon,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,151271,148912
268,GEO,Georgia,2,Europe and Eurasia,1,Economic,2,Obligations,2016,50313626,49529417
268,GEO,Georgia,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,59282686,58358686
270,GMB,Gambia,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,1698384,1671902
270,GMB,Gambia,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,1728338,1701386
275,PSE,West Bank/Gaza,3,Middle East and North Africa,1,Economic,2,Obligations,2016,317383950,312437235
275,PSE,West Bank/Gaza,3,Middle East and North Africa,1,Economic,3,Disbursements,2016,283919737,279494588
288,GHA,Ghana,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,203272501,200104250
288,GHA,Ghana,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,190712707,187740243
300,GRC,Greece,2,Europe and Eurasia,1,Economic,2,Obligations,2016,441962,435073
300,GRC,Greece,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,90330,88921
320,GTM,Guatemala,6,Western Hemisphere,1,Economic,2,Obligations,2016,137902709,135753329
320,GTM,Guatemala,6,Western Hemisphere,1,Economic,3,Disbursements,2016,124104617,122170319
324,GIN,Guinea,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,63759102,62765334
324,GIN,Guinea,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,104990328,103353937
328,GUY,Guyana,6,Western Hemisphere,1,Economic,2,Obligations,2016,5213855,5132579
328,GUY,Guyana,6,Western Hemisphere,1,Economic,3,Disbursements,2016,4291692,4224789
332,HTI,Haiti,6,Western Hemisphere,1,Economic,2,Obligations,2016,260085246,256031536
332,HTI,Haiti,6,Western Hemisphere,1,Economic,3,Disbursements,2016,301893290,297187968
340,HND,Honduras,6,Western Hemisphere,1,Economic,2,Obligations,2016,143116891,140886272
340,HND,Honduras,6,Western Hemisphere,1,Economic,3,Disbursements,2016,120713714,118832278
348,HUN,Hungary,2,Europe and Eurasia,1,Economic,2,Obligations,2016,907833,893682
348,HUN,Hungary,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,897346,883359
356,IND,India,4,South and Central Asia,1,Economic,2,Obligations,2016,128189533,126191550
356,IND,India,4,South and Central Asia,1,Economic,3,Disbursements,2016,89214270,87823762
360,IDN,Indonesia,1,East Asia and Oceania,1,Economic,2,Obligations,2016,161096736,158585863
360,IDN,Indonesia,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,165806350,163222088
364,IRN,Iran,3,Middle East and North Africa,1,Economic,2,Obligations,2016,-965,-949
368,IRQ,Iraq,3,Middle East and North Africa,1,Economic,2,Obligations,2016,361158037,355529070
368,IRQ,Iraq,3,Middle East and North Africa,1,Economic,3,Disbursements,2016,158463335,155993549
376,ISR,Israel,3,Middle East and North Africa,1,Economic,2,Obligations,2016,3275000,3223954
376,ISR,Israel,3,Middle East and North Africa,1,Economic,3,Disbursements,2016,4188982,4123692
376,ISR,Israel,3,Middle East and North Africa,2,Military,2,Obligations,2016,16507922,16250619
376,ISR,Israel,3,Middle East and North Africa,2,Military,3,Disbursements,2016,16507922,16250619
384,CIV,Cote d'Ivoire,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,36751155,36178344
384,CIV,Cote d'Ivoire,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,45895155,45179838
388,JAM,Jamaica,6,Western Hemisphere,1,Economic,2,Obligations,2016,19371800,19069856
388,JAM,Jamaica,6,Western Hemisphere,1,Economic,3,Disbursements,2016,21234958,20903980
392,JPN,Japan,1,East Asia and Oceania,1,Economic,2,Obligations,2016,-2399842,-2362438
398,KAZ,Kazakhstan,4,South and Central Asia,1,Economic,2,Obligations,2016,11667916,11486057
398,KAZ,Kazakhstan,4,South and Central Asia,1,Economic,3,Disbursements,2016,15262500,15024617
400,JOR,Jordan,3,Middle East and North Africa,1,Economic,2,Obligations,2016,487122195,479529974
400,JOR,Jordan,3,Middle East and North Africa,1,Economic,3,Disbursements,2016,514511519,506492421
404,KEN,Kenya,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,510549110,502591706
404,KEN,Kenya,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,463761959,456533795
408,PRK,"Korea, Democratic Republic",1,East Asia and Oceania,1,Economic,2,Obligations,2016,5394,5310
408,PRK,"Korea, Democratic Republic",1,East Asia and Oceania,1,Economic,3,Disbursements,2016,5394,5310
410,KOR,Korea Republic,1,East Asia and Oceania,1,Economic,2,Obligations,2016,379387,373473
410,KOR,Korea Republic,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,312222,307355
417,KGZ,Kyrgyzstan,4,South and Central Asia,1,Economic,2,Obligations,2016,39164489,38554055
417,KGZ,Kyrgyzstan,4,South and Central Asia,1,Economic,3,Disbursements,2016,40847495,40210829
418,LAO,Laos,1,East Asia and Oceania,1,Economic,2,Obligations,2016,6089027,5994118
418,LAO,Laos,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,15763734,15518042
422,LBN,Lebanon,3,Middle East and North Africa,1,Economic,2,Obligations,2016,79694342,78452228
422,LBN,Lebanon,3,Middle East and North Africa,1,Economic,3,Disbursements,2016,107610114,105932907
426,LSO,Lesotho,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,56342477,55464325
426,LSO,Lesotho,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,26260408,25851104
428,LVA,Latvia,2,Europe and Eurasia,1,Economic,2,Obligations,2016,-4759,-4684
430,LBR,Liberia,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,440938588,434066136
430,LBR,Liberia,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,321740564,316725909
434,LBY,Libya,3,Middle East and North Africa,1,Economic,2,Obligations,2016,16981362,16716684
434,LBY,Libya,3,Middle East and North Africa,1,Economic,3,Disbursements,2016,14783139,14552727
440,LTU,Lithuania,2,Europe and Eurasia,1,Economic,2,Obligations,2016,-3748,-3689
450,MDG,Madagascar,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,102149651,100557513
450,MDG,Madagascar,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,101119557,99543489
454,MWI,Malawi,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,327738291,322630105
454,MWI,Malawi,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,297651704,293012482
458,MYS,Malaysia,1,East Asia and Oceania,1,Economic,2,Obligations,2016,606987,597524
458,MYS,Malaysia,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,1044449,1028169
462,MDV,Maldives,4,South and Central Asia,1,Economic,2,Obligations,2016,29885,29418
462,MDV,Maldives,4,South and Central Asia,1,Economic,3,Disbursements,2016,1197540,1178875
466,MLI,Mali,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,182238057,179397651
466,MLI,Mali,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,167453881,164843919
478,MRT,Mauritania,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,5647898,5559864
478,MRT,Mauritania,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,10017788,9861647
480,MUS,Mauritius,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,10857,10688
480,MUS,Mauritius,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,59666,58735
484,MEX,Mexico,6,Western Hemisphere,1,Economic,2,Obligations,2016,60583547,59639269
484,MEX,Mexico,6,Western Hemisphere,1,Economic,3,Disbursements,2016,55661725,54794154
496,MNG,Mongolia,1,East Asia and Oceania,1,Economic,2,Obligations,2016,7890699,7767704
496,MNG,Mongolia,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,4554980,4483976
498,MDA,Moldova,2,Europe and Eurasia,1,Economic,2,Obligations,2016,19615067,19309327
498,MDA,Moldova,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,43815486,43132574
499,MNE,Montenegro,2,Europe and Eurasia,1,Economic,2,Obligations,2016,-88760,-87376
504,MAR,Morocco,3,Middle East and North Africa,1,Economic,2,Obligations,2016,58097680,57192164
504,MAR,Morocco,3,Middle East and North Africa,1,Economic,3,Disbursements,2016,31727973,31233456
508,MOZ,Mozambique,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,275880054,271580157
508,MOZ,Mozambique,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,224771457,221268154
516,NAM,Namibia,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,18928837,18633802
516,NAM,Namibia,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,23937715,23564609
524,NPL,Nepal,4,South and Central Asia,1,Economic,2,Obligations,2016,151812642,149446459
524,NPL,Nepal,4,South and Central Asia,1,Economic,3,Disbursements,2016,167783219,165168143
548,VUT,Vanuatu,1,East Asia and Oceania,1,Economic,2,Obligations,2016,4710027,4636611
548,VUT,Vanuatu,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,3767312,3708592
554,NZL,New Zealand,1,East Asia and Oceania,1,Economic,2,Obligations,2016,-374849,-369006
558,NIC,Nicaragua,6,Western Hemisphere,1,Economic,2,Obligations,2016,24185633,23808653
558,NIC,Nicaragua,6,Western Hemisphere,1,Economic,3,Disbursements,2016,31563046,31071089
562,NER,Niger,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,71500180,70385775
562,NER,Niger,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,70702234,69600271
566,NGA,Nigeria,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,443705204,436789634
566,NGA,Nigeria,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,362938296,357281573
583,FSM,Micronesia (Federated States),1,East Asia and Oceania,1,Economic,2,Obligations,2016,30044749,29576470
583,FSM,Micronesia (Federated States),1,East Asia and Oceania,1,Economic,3,Disbursements,2016,15249159,15011480
584,MHL,Marshall Islands,1,East Asia and Oceania,1,Economic,2,Obligations,2016,3423116,3369761
584,MHL,Marshall Islands,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,1798880,1770840
585,PLW,Palau,1,East Asia and Oceania,1,Economic,2,Obligations,2016,234439,230784
585,PLW,Palau,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,146506,144222
586,PAK,Pakistan,4,South and Central Asia,1,Economic,2,Obligations,2016,417748954,411237958
586,PAK,Pakistan,4,South and Central Asia,1,Economic,3,Disbursements,2016,653096033,642916953
591,PAN,Panama,6,Western Hemisphere,1,Economic,2,Obligations,2016,4836521,4761127
591,PAN,Panama,6,Western Hemisphere,1,Economic,3,Disbursements,2016,4625403,4553300
598,PNG,Papua New Guinea,1,East Asia and Oceania,1,Economic,2,Obligations,2016,10342874,10181666
598,PNG,Papua New Guinea,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,7650716,7531467
600,PRY,Paraguay,6,Western Hemisphere,1,Economic,2,Obligations,2016,18126712,17844176
600,PRY,Paraguay,6,Western Hemisphere,1,Economic,3,Disbursements,2016,15994200,15744904
604,PER,Peru,6,Western Hemisphere,1,Economic,2,Obligations,2016,64798455,63788482
604,PER,Peru,6,Western Hemisphere,1,Economic,3,Disbursements,2016,73807792,72657400
608,PHL,Philippines,1,East Asia and Oceania,1,Economic,2,Obligations,2016,123636463,121709444
608,PHL,Philippines,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,188156453,185223855
616,POL,Poland,2,Europe and Eurasia,1,Economic,2,Obligations,2016,-59411,-58485
616,POL,Poland,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,6345,6246
624,GNB,Guinea-Bissau,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,-1828,-1799
624,GNB,Guinea-Bissau,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,3368107,3315612
626,TLS,Timor-Leste,1,East Asia and Oceania,1,Economic,2,Obligations,2016,16246025,15992803
626,TLS,Timor-Leste,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,21343964,21011288
634,QAT,Qatar,3,Middle East and North Africa,1,Economic,2,Obligations,2016,33095,32580
634,QAT,Qatar,3,Middle East and North Africa,1,Economic,3,Disbursements,2016,19334,19033
642,ROU,Romania,2,Europe and Eurasia,1,Economic,2,Obligations,2016,-185338,-182451
642,ROU,Romania,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,59300,58375
643,RUS,Russia,2,Europe and Eurasia,1,Economic,2,Obligations,2016,-1407506,-1385565
643,RUS,Russia,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,-108824,-107129
646,RWA,Rwanda,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,142197799,139981476
646,RWA,Rwanda,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,126455958,124485007
678,STP,Sao Tome and Principe,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,22708,22352
678,STP,Sao Tome and Principe,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,57450,56555
686,SEN,Senegal,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,134085837,131995932
686,SEN,Senegal,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,166906437,164305017
688,SRB,Serbia,2,Europe and Eurasia,1,Economic,2,Obligations,2016,12491207,12296515
688,SRB,Serbia,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,17790237,17512945
690,SYC,Seychelles,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,-25784,-25382
690,SYC,Seychelles,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,17664,17390
694,SLE,Sierra Leone,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,24751250,24365466
694,SLE,Sierra Leone,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,121374373,119482626
703,SVK,Slovak Republic,2,Europe and Eurasia,1,Economic,2,Obligations,2016,500000,492207
704,VNM,Vietnam,1,East Asia and Oceania,1,Economic,2,Obligations,2016,71859793,70739765
704,VNM,Vietnam,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,68299530,67235013
706,SOM,Somalia,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,212174749,208867795
706,SOM,Somalia,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,188200568,185267270
710,ZAF,South Africa,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,317567190,312617606
710,ZAF,South Africa,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,292511684,287952618
716,ZWE,Zimbabwe,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,204772332,201580739
716,ZWE,Zimbabwe,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,184705105,181826276
728,SSD,South Sudan,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,551223101,542631793
